Date,Symbol,Open,High,Low,Close,Adj Close,Volume
2015/12/15,SPY,204.699997,206.110001,202.869995,205.029999,195.727036,154069600
2015/12/16,SPY,206.369995,208.389999,204.800003,208.029999,198.590912,197017000
2015/12/17,SPY,208.399994,208.479996,204.839996,204.860001,195.564758,173092500
2015/12/18,SPY,202.770004,202.929993,199.830002,200.020004,192.08078,251393500
2015/12/21,SPY,201.410004,201.880005,200.089996,201.669998,193.665268,99094300
2015/12/22,SPY,202.720001,203.850006,201.550003,203.5,195.422638,103602200
2015/12/23,SPY,204.690002,206.070007,204.580002,206.020004,197.842621,110987200
2015/12/24,SPY,205.720001,206.330002,205.419998,205.679993,197.516098,48542200
2015/12/28,SPY,204.860001,205.259995,203.940002,205.210007,197.064758,64967100
2015/12/29,SPY,206.509995,207.789993,206.470001,207.399994,199.167831,92640700
2015/12/30,SPY,207.110001,207.210007,205.759995,205.929993,197.75618,63317700
2015/12/31,SPY,205.130005,205.889999,203.869995,203.869995,195.777939,114877900
2016/1/4,SPY,200.490005,201.029999,198.589996,201.020004,193.041077,222353500
2016/1/5,SPY,201.399994,201.899994,200.050003,201.360001,193.367584,110845800
2016/1/6,SPY,198.339996,200.059998,197.600006,198.820007,190.928375,152112600
2016/1/7,SPY,195.330002,197.440002,193.589996,194.050003,186.347717,213436100
2016/1/8,SPY,195.190002,195.850006,191.580002,191.919998,184.302277,209817200
2016/1/11,SPY,193.009995,193.410004,189.820007,192.110001,184.484726,185113200
2016/1/12,SPY,193.820007,194.550003,191.139999,193.660004,185.973206,172330500
2016/1/13,SPY,194.449997,194.860001,188.380005,188.830002,181.33493,221168900
2016/1/14,SPY,189.550003,193.259995,187.660004,191.929993,184.311844,240795600
2016/1/15,SPY,186.770004,188.759995,185.520004,187.809998,180.355408,324846400
2016/1/19,SPY,189.960007,190.110001,186.199997,188.059998,180.595474,195244400
2016/1/20,SPY,185.029999,187.5,181.020004,185.649994,178.281158,286547800
2016/1/21,SPY,186.210007,188.869995,184.639999,186.690002,179.279861,195772900
2016/1/22,SPY,189.779999,190.759995,188.880005,190.520004,182.957825,168319600
2016/1/25,SPY,189.919998,190.149994,187.410004,187.639999,180.192139,130371700
2016/1/26,SPY,188.419998,190.529999,188.020004,190.199997,182.650513,137269900
2016/1/27,SPY,189.580002,191.559998,187.059998,188.130005,180.662704,185681700
2016/1/28,SPY,189.960007,190.199997,187.160004,189.110001,181.60379,143798800
2016/1/29,SPY,190.020004,193.880005,189.880005,193.720001,186.030823,210529300
2016/2/1,SPY,192.529999,194.580002,191.839996,193.649994,185.963593,136061600
2016/2/2,SPY,191.960007,191.970001,189.539993,190.160004,182.612122,182564900
2016/2/3,SPY,191.410004,191.779999,187.100006,191.300003,183.706863,205054900
2016/2/4,SPY,190.710007,192.75,189.960007,191.600006,183.994965,136318100
2016/2/5,SPY,190.990005,191.669998,187.199997,187.949997,180.489853,180788300
